source_name,standardized_name,justification
USA,United States,Variación abreviada usada en fuentes deportivas
United States,United States,Nombre canónico elegido para el proyecto
IR Iran,Iran,Variación utilizada por FIFA
Iran,Iran,Nombre canónico elegido para el proyecto
Korea Republic,South Korea,Variación utilizada por FIFA
South Korea,South Korea,Nombre canónico elegido para el proyecto
Côte d'Ivoire,Ivory Coast,Variante francesa del nombre de la selección
Ivory Coast,Ivory Coast,Nombre canónico elegido para el proyecto
Germany FR,Germany,Continuidad histórica para fines estadísticos del modelo
West Germany,Germany,Continuidad histórica para fines estadísticos del modelo
Germany,Germany,Nombre canónico elegido para el proyecto
Soviet Union,Russia,Continuidad histórica simplificada para el modelo; no implica equivalencia política
Russia,Russia,Nombre canónico elegido para el proyecto
Czechoslovakia,Czech Republic,Continuidad histórica simplificada para el modelo; revisar interpretación
Czech Republic,Czech Republic,Nombre canónico elegido para el proyecto
Yugoslavia,Serbia,Continuidad histórica simplificada para el modelo; no implica equivalencia política
FR Yugoslavia,Serbia,Continuidad histórica simplificada para el modelo; no implica equivalencia política
Serbia,Serbia,Nombre canónico elegido para el proyecto
